Person,Project,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_11,Project_001,,,,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,X,e,,,,,,,,,,,,,,,
Person_07,Project_001,,,,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,X,e,,,,,,,,,,,,,,,
Person_15,Project_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,e,,,,,
Person_01,Project_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,e,,,,,
Person_02,Project_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,e,,,,,
Person_13,Project_003,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Project_003,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_003,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_004,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,
Person_01,Project_004,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,e,,,,,,,,,,,
Person_08,Project_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,e,,,,,,,,,,,
Person_15,Project_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,e,,,,,,,,,,,
Person_09,Project_006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,,e,,,,,,,,,
